Year,ISO-alpha3 Code,Neg,Neu,Pos,Compound
1971,CUB,0.187,0.63,0.182,0.6693
1971,CYP,0.121,0.55,0.329,0.9999
1971,DOM,0.12,0.603,0.276,0.9999
1971,DZA,0.166,0.571,0.264,0.9998
1971,ECU,0.1,0.573,0.327,1.0
1971,EGY,0.1,0.645,0.255,0.9999
1971,ESP,0.106,0.631,0.262,0.9999
1971,ETH,0.117,0.631,0.252,0.9996
1971,FIN,0.089,0.589,0.322,0.9999
1971,FJI,0.049,0.667,0.284,0.9999
1971,FRA,0.128,0.622,0.25,0.9999
1971,GAB,0.129,0.556,0.316,0.9998
1971,GBR,0.209,0.544,0.247,0.9967
1971,GHA,0.106,0.599,0.295,0.9999
1971,GIN,0.112,0.676,0.212,0.9999
1971,GRC,0.109,0.581,0.31,0.9997
1971,GTM,0.077,0.624,0.3,0.9999
1971,GUY,0.095,0.658,0.248,0.9999
1971,HTI,0.114,0.608,0.278,0.9999
1971,HUN,0.104,0.647,0.249,0.9998
1971,IDN,0.12,0.597,0.283,0.9999
1971,IND,0.122,0.661,0.217,0.9999
1971,IRL,0.164,0.579,0.257,0.9998
1971,IRN,0.102,0.602,0.296,0.9999
1971,IRQ,0.11,0.618,0.272,0.9999
1971,ISL,0.094,0.599,0.307,0.9999
1971,ISR,0.107,0.618,0.275,1.0
1971,ITA,0.078,0.623,0.299,0.9999
1971,JAM,0.102,0.651,0.247,0.9998
1971,JOR,0.117,0.647,0.236,0.9998
1971,JPN,0.092,0.589,0.319,1.0
1971,KEN,0.111,0.611,0.278,0.9999
1971,KHM,0.124,0.616,0.26,0.9998
1971,KWT,0.11,0.64,0.249,0.9998
1971,LAO,0.119,0.556,0.325,0.9998
1971,LBN,0.15,0.565,0.285,0.9997
1971,LBR,0.135,0.596,0.27,0.9998
1971,LBY,0.178,0.639,0.183,-0.9596
1971,LKA,0.099,0.644,0.258,0.9999
1971,LUX,0.108,0.615,0.277,0.9998
1971,MAR,0.117,0.6,0.282,0.9998
1971,MDG,0.145,0.605,0.25,0.9996
1971,MEX,0.113,0.642,0.245,0.9998
1971,MLI,0.154,0.587,0.259,0.9997
1971,MLT,0.092,0.609,0.299,0.9999
1971,MMR,0.101,0.6,0.299,0.9999
1971,MNG,0.103,0.582,0.314,0.9999
1971,MRT,0.123,0.537,0.34,0.9999
1971,MUS,0.093,0.587,0.32,0.9998
1971,MYS,0.087,0.607,0.306,0.9999
1971,NER,0.138,0.529,0.334,0.9998
1971,NGA,0.131,0.634,0.234,0.9996
1971,NIC,0.04,0.616,0.344,1.0
1971,NLD,0.093,0.588,0.319,0.9999
1971,NOR,0.139,0.602,0.258,0.9994
1971,NPL,0.112,0.589,0.299,0.9999
1971,NZL,0.092,0.674,0.234,0.9999
1971,PAK,0.157,0.657,0.187,0.9984
1971,PAN,0.079,0.638,0.283,0.9997
1971,PER,0.086,0.689,0.225,0.9999
1971,PHL,0.08,0.675,0.245,0.9999
1971,POL,0.082,0.636,0.282,1.0
1971,PRY,0.05,0.652,0.298,0.9999
1971,QAT,0.115,0.598,0.287,0.9999
1971,ROU,0.09,0.573,0.337,1.0
1971,RUS,0.103,0.638,0.259,1.0
1971,RWA,0.142,0.62,0.238,0.9996
1971,SAU,0.123,0.621,0.255,0.9994
1971,SDN,0.116,0.652,0.232,0.9998
1971,SEN,0.093,0.641,0.266,0.9998
1971,SGP,0.228,0.562,0.21,-0.9916
1971,SLE,0.095,0.634,0.271,1.0
1971,SLV,0.079,0.629,0.293,0.9999
1971,SOM,0.142,0.6,0.257,0.9999
1971,SWE,0.103,0.611,0.286,0.9998
1971,SYR,0.2,0.558,0.242,0.9989
1971,TCD,0.103,0.633,0.265,0.9999
1971,TGO,0.14,0.607,0.253,0.9996
1971,THA,0.071,0.605,0.324,0.9999
1971,TTO,0.082,0.657,0.261,0.9997
1971,TUN,0.156,0.6,0.244,0.9996
1971,TUR,0.099,0.566,0.336,0.9999
1971,TZA,0.165,0.594,0.241,0.9996
1971,UGA,0.089,0.606,0.306,0.9998
1971,UKR,0.106,0.625,0.269,0.9999
1971,URY,0.107,0.611,0.282,0.9999
1971,USA,0.076,0.607,0.317,1.0
1971,VEN,0.06,0.667,0.273,0.9999
1971,YDYE,0.159,0.566,0.274,0.9998
1971,YEM,0.118,0.612,0.27,0.9996
1971,YUG,0.135,0.587,0.278,0.9997
1971,ZAF,0.036,0.723,0.241,0.9997
1971,ZMB,0.157,0.621,0.222,0.9995
1972,AFG,0.093,0.639,0.269,0.9998
1972,ALB,0.149,0.595,0.257,0.9999
1972,ARE,0.169,0.569,0.262,0.9986
1972,ARG,0.097,0.651,0.252,0.9999
1972,AUS,0.139,0.582,0.279,0.9998
1972,AUT,0.11,0.594,0.297,0.9998
1972,BDI,0.15,0.608,0.242,0.9999
1972,BEL,0.13,0.637,0.233,0.9997
1972,BEN,0.096,0.583,0.321,0.9999
1972,BFA,0.149,0.582,0.268,0.9998
1972,BGR,0.096,0.591,0.313,0.9999
1972,BHR,0.182,0.566,0.252,0.9952
1972,BLR,0.1,0.634,0.265,0.9999
1972,BOL,0.107,0.64,0.254,0.9999
1972,BRA,0.106,0.643,0.251,0.9999
1972,BRB,0.165,0.557,0.279,0.9994
1972,BTN,0.082,0.573,0.345,0.9999
1972,CAF,0.124,0.573,0.303,0.9998
1972,CAN,0.168,0.58,0.252,0.9995
1972,CHL,0.143,0.592,0.265,0.9999
1972,CHN,0.164,0.616,0.22,0.9997
1972,CIV,0.177,0.571,0.251,0.999
1972,CMR,0.124,0.572,0.304,0.9999
1972,COD,0.105,0.656,0.239,0.9998
1972,COG,0.161,0.6,0.238,0.9997
1972,COL,0.127,0.649,0.223,0.9998
1972,CRI,0.159,0.588,0.253,0.9997
1972,CSK,0.105,0.578,0.317,0.9999
1972,CUB,0.143,0.658,0.2,0.9996
1972,CYP,0.088,0.587,0.326,1.0
1972,DNK,0.112,0.591,0.297,0.9999
1972,DOM,0.141,0.586,0.273,0.9996
1972,DZA,0.163,0.585,0.253,0.9997
1972,ECU,0.12,0.596,0.284,0.9999
1972,EGY,0.115,0.594,0.291,1.0
1972,ESP,0.117,0.585,0.298,0.9998
1972,ETH,0.156,0.595,0.249,0.9997
1972,FIN,0.087,0.61,0.303,0.9998
1972,FJI,0.109,0.617,0.274,1.0
1972,FRA,0.096,0.635,0.27,0.9999
1972,GAB,0.175,0.541,0.285,0.9991
1972,GBR,0.15,0.609,0.241,0.9992
1972,GHA,0.127,0.631,0.242,0.9998
1972,GIN,0.174,0.668,0.158,-0.9883
1972,GMB,0.124,0.634,0.242,0.9992
1972,GRC,0.117,0.542,0.341,0.9998
1972,GTM,0.141,0.619,0.24,0.9989
1972,GUY,0.105,0.653,0.242,0.9999
1972,HND,0.078,0.609,0.312,0.9998
1972,HTI,0.135,0.615,0.25,0.9999
1972,HUN,0.134,0.645,0.221,0.9996
1972,IDN,0.116,0.612,0.272,0.9999
1972,IND,0.11,0.591,0.299,0.9999
1972,IRL,0.129,0.635,0.236,0.9996
1972,IRN,0.1,0.609,0.291,0.9999
1972,IRQ,0.146,0.56,0.294,0.9999
1972,ISL,0.051,0.729,0.22,0.9997
1972,ISR,0.218,0.582,0.199,-0.9995
1972,ITA,0.089,0.577,0.334,0.9999
1972,JAM,0.119,0.676,0.205,0.9994
1972,JOR,0.152,0.626,0.222,0.9986
1972,JPN,0.075,0.595,0.33,1.0
1972,KEN,0.12,0.634,0.246,0.9998
1972,KHM,0.149,0.622,0.229,0.9994
1972,KWT,0.2,0.622,0.177,-0.9985
1972,LAO,0.21,0.543,0.247,0.9917
1972,LBN,0.186,0.578,0.237,0.9979
1972,LBR,0.152,0.605,0.243,0.9997
1972,LBY,0.239,0.517,0.244,-0.9857
1972,LKA,0.132,0.621,0.247,0.9999
1972,LUX,0.144,0.596,0.26,0.9997
1972,MAR,0.148,0.592,0.26,0.9997
1972,MDG,0.146,0.576,0.278,0.9997
1972,MEX,0.081,0.67,0.249,0.9999
1972,MLI,0.134,0.63,0.236,0.9998
1972,MLT,0.122,0.638,0.24,0.9997
1972,MMR,0.125,0.602,0.273,0.9998
1972,MNG,0.117,0.571,0.311,1.0
1972,MRT,0.158,0.56,0.282,0.9999
1972,MUS,0.111,0.593,0.296,0.9997
1972,MWI,0.116,0.592,0.292,0.9998
1972,MYS,0.083,0.607,0.31,0.9999
1972,NER,0.167,0.584,0.249,0.9985
1972,NGA,0.133,0.581,0.286,0.9998
1972,NIC,0.075,0.633,0.292,0.9999
1972,NLD,0.091,0.675,0.234,0.9998
1972,NPL,0.13,0.573,0.297,0.9999
1972,NZL,0.121,0.631,0.249,0.9998
1972,OMN,0.125,0.543,0.333,0.9996
1972,PAK,0.167,0.576,0.257,0.9995
1972,PER,0.101,0.674,0.225,0.9999
1972,PHL,0.11,0.619,0.271,0.9999
1972,POL,0.095,0.619,0.287,0.9999
1972,PRT,0.175,0.614,0.211,0.9969
1972,PRY,0.104,0.666,0.23,0.9997
1972,QAT,0.049,0.575,0.376,0.9995
1972,ROU,0.09,0.629,0.281,0.9999
1972,RUS,0.143,0.599,0.258,0.9999
1972,RWA,0.122,0.602,0.276,0.9999
1972,SAU,0.191,0.621,0.187,-0.9062
1972,SDN,0.201,0.611,0.188,-0.9964
1972,SEN,0.159,0.598,0.243,0.9996
1972,SGP,0.156,0.573,0.271,0.9995
1972,SLE,0.122,0.618,0.261,0.9999
1972,SLV,0.086,0.703,0.211,0.9999
1972,SOM,0.18,0.597,0.223,0.9984
1972,SWE,0.177,0.563,0.259,0.9993
1972,SWZ,0.163,0.58,0.257,0.9981
1972,SYR,0.228,0.565,0.207,-0.9992
1972,TCD,0.137,0.6,0.263,0.9993
1972,TGO,0.147,0.563,0.29,0.9997
1972,THA,0.116,0.583,0.302,0.9999
1972,TUN,0.152,0.598,0.25,0.9999
1972,TUR,0.139,0.537,0.324,0.9999
1972,TZA,0.128,0.63,0.241,0.9998
1972,UGA,0.129,0.657,0.214,0.9998
1972,UKR,0.128,0.593,0.278,0.9999
1972,URY,0.113,0.624,0.263,0.9998
1972,USA,0.152,0.595,0.253,0.9996
1972,VEN,0.214,0.573,0.213,-0.9884
1972,YDYE,0.176,0.543,0.282,0.9998
1972,YEM,0.168,0.576,0.256,0.9996
1972,YUG,0.147,0.552,0.301,0.9997
1972,ZAF,0.149,0.632,0.219,0.9984
1972,ZMB,0.137,0.577,0.286,0.9999
1973,AFG,0.063,0.64,0.297,0.9999
1973,ALB,0.157,0.59,0.253,0.9999
1973,ARE,0.125,0.565,0.31,0.9998
1973,ARG,0.089,0.64,0.271,0.9999
1973,AUS,0.056,0.671,0.274,0.9999
1973,AUT,0.105,0.651,0.244,0.9996
1973,BDI,0.182,0.56,0.259,0.9998
1973,BEL,0.102,0.665,0.233,0.9998
1973,BEN,0.149,0.587,0.263,0.9999
1973,BFA,0.117,0.643,0.24,0.9999
1973,BGR,0.096,0.615,0.289,0.9999
1973,BHR,0.139,0.599,0.262,0.9992
1973,BHS,0.074,0.673,0.253,0.9999
1973,BLR,0.125,0.581,0.295,0.9999
1973,BOL,0.116,0.617,0.267,0.9999
1973,BRA,0.07,0.669,0.261,0.9999
1973,BTN,0.088,0.533,0.378,0.9999
1973,CAF,0.099,0.598,0.302,0.9999
1973,CAN,0.145,0.566,0.288,0.9996
1973,CHL,0.14,0.64,0.22,0.9999
1973,CHN,0.136,0.656,0.209,0.9998
1973,COD,0.146,0.629,0.225,0.9999
1973,COG,0.151,0.588,0.261,0.9997
1973,COL,0.095,0.646,0.259,0.9999
1973,CRI,0.088,0.631,0.281,1.0
1973,CSK,0.087,0.595,0.317,0.9999
1973,CUB,0.184,0.619,0.197,0.9942
1973,CYP,0.087,0.572,0.34,1.0
1973,DDR,0.111,0.647,0.242,0.9999
1973,DEU,0.148,0.579,0.273,0.9999
1973,DNK,0.11,0.617,0.273,0.9997
1973,DZA,0.163,0.585,0.252,0.9999
1973,ECU,0.122,0.578,0.299,0.9999
1973,EGY,0.214,0.552,0.234,0.5267
1973,ESP,0.114,0.606,0.28,0.9999
1973,ETH,0.148,0.56,0.291,0.9999
1973,FIN,0.097,0.605,0.297,0.9997
1973,FJI,0.105,0.629,0.266,0.9999
1973,FRA,0.125,0.637,0.238,0.9996
1973,GAB,0.155,0.584,0.261,0.9992
1973,GBR,0.12,0.653,0.227,0.9994
1973,GHA,0.161,0.605,0.234,0.9997
1973,GIN,0.124,0.62,0.256,0.9999
1973,GRC,0.092,0.569,0.34,0.9999
1973,GTM,0.109,0.591,0.301,0.9998
1973,GUY,0.068,0.661,0.27,0.9999
1973,HND,0.092,0.599,0.309,0.9998
1973,HTI,0.084,0.639,0.277,0.9999
1973,HUN,0.094,0.654,0.252,1.0
1973,IDN,0.13,0.614,0.255,0.9998
1973,IND,0.116,0.607,0.277,0.9999
1973,IRL,0.136,0.623,0.241,0.9998
1973,IRN,0.103,0.625,0.272,0.9997
1973,IRQ,0.129,0.592,0.279,0.9998
1973,ISL,0.092,0.632,0.276,0.9999
1973,ISR,0.13,0.635,0.234,0.9999
1973,ITA,0.104,0.629,0.267,0.9999
1973,JAM,0.132,0.609,0.259,0.9999
1973,JOR,0.164,0.678,0.158,-0.9099
1973,JPN,0.07,0.592,0.338,1.0
1973,KEN,0.154,0.571,0.275,0.9999
1973,KHM,0.118,0.684,0.198,0.9995
1973,KWT,0.079,0.693,0.229,0.9986
1973,LAO,0.144,0.56,0.296,0.9996
1973,LBN,0.114,0.594,0.292,0.9998
1973,LBR,0.146,0.561,0.293,0.9999
1973,LBY,0.187,0.631,0.181,-0.9444
1973,LKA,0.13,0.602,0.268,0.9999
1973,LSO,0.147,0.584,0.27,0.9997
1973,LUX,0.115,0.606,0.279,0.9997
1973,MAR,0.112,0.582,0.307,0.9999
1973,MDG,0.121,0.643,0.236,0.9999
1973,MEX,0.097,0.651,0.252,0.9999
1973,MLI,0.153,0.594,0.253,0.9998
1973,MMR,0.116,0.624,0.261,0.9996
1973,MNG,0.102,0.619,0.279,0.9999
1973,MRT,0.097,0.599,0.304,0.9999
1973,MUS,0.086,0.569,0.345,0.9999
1973,MYS,0.102,0.588,0.31,1.0
1973,NER,0.13,0.583,0.287,0.9998
1973,NGA,0.125,0.576,0.299,1.0
1973,NIC,0.132,0.561,0.307,0.9998
1973,NLD,0.128,0.606,0.266,0.9998
1973,NOR,0.108,0.627,0.265,0.9999
1973,NPL,0.158,0.565,0.277,0.9997
1973,NZL,0.155,0.602,0.243,0.9996
1973,OMN,0.115,0.596,0.289,0.9995
1973,PAK,0.213,0.536,0.251,0.9917
1973,PAN,0.07,0.624,0.305,0.9999
1973,PER,0.092,0.654,0.254,0.9999
1973,PHL,0.096,0.646,0.258,0.9999
1973,POL,0.077,0.622,0.301,0.9999
1973,PRT,0.157,0.617,0.226,0.9995
1973,PRY,0.136,0.576,0.288,0.9999
1973,QAT,0.129,0.543,0.327,0.9997
1973,ROU,0.06,0.647,0.294,1.0
1973,RUS,0.102,0.629,0.269,1.0
1973,RWA,0.148,0.603,0.249,0.9998
1973,SAU,0.139,0.685,0.175,0.9575
1973,SDN,0.141,0.664,0.195,0.999
1973,SEN,0.104,0.662,0.235,0.9998
1973,SGP,0.208,0.605,0.187,-0.9906
1973,SLE,0.141,0.598,0.261,0.9998
1973,SLV,0.113,0.64,0.247,0.9999
1973,SOM,0.165,0.607,0.228,0.9996
1973,SWE,0.198,0.556,0.245,0.9968
1973,SYR,0.139,0.621,0.24,0.9997
1973,THA,0.069,0.605,0.326,1.0
1973,TUN,0.164,0.562,0.274,0.9999
1973,TUR,0.12,0.611,0.269,0.9999
1973,TZA,0.172,0.569,0.259,0.9998
1973,UKR,0.14,0.581,0.279,0.9999
1973,URY,0.085,0.624,0.291,1.0
1973,USA,0.123,0.581,0.296,0.9998
1973,VEN,0.089,0.664,0.247,0.9998
1973,YDYE,0.162,0.647,0.191,0.7741
1973,YEM,0.153,0.547,0.3,0.998
1973,YUG,0.123,0.638,0.239,0.9998
1973,ZAF,0.122,0.678,0.2,0.9991
1973,ZMB,0.13,0.614,0.256,0.9999
1974,AFG,0.104,0.597,0.299,0.9999
1974,ALB,0.123,0.595,0.282,0.9999
1974,ARE,0.116,0.6,0.284,0.9998
1974,ARG,0.088,0.656,0.256,1.0
1974,AUS,0.163,0.592,0.245,0.9996
1974,AUT,0.119,0.608,0.272,0.9997
1974,BDI,0.141,0.584,0.275,1.0
1974,BEL,0.113,0.632,0.255,0.9997
1974,BEN,0.16,0.587,0.253,0.9999
1974,BFA,0.119,0.648,0.233,1.0
1974,BGD,0.14,0.521,0.339,0.9999
1974,BGR,0.076,0.63,0.293,0.9999
1974,BHR,0.1,0.61,0.289,0.9999
1974,BLR,0.096,0.609,0.295,0.9999
1974,BOL,0.091,0.563,0.346,0.9999
1974,BRA,0.096,0.623,0.281,0.9999
1974,BRB,0.172,0.571,0.258,0.9986
1974,BTN,0.097,0.585,0.318,0.9999
1974,BWA,0.096,0.595,0.309,0.9999
1974,CAF,0.091,0.605,0.305,0.9999
1974,CAN,0.139,0.578,0.282,0.9997
1974,CHL,0.098,0.632,0.27,0.9999
1974,CHN,0.146,0.652,0.201,0.9997
1974,CIV,0.144,0.64,0.216,0.9995
1974,CMR,0.101,0.61,0.289,0.9999
1974,COD,0.128,0.634,0.238,0.9998
1974,COG,0.134,0.61,0.256,0.9997
1974,COL,0.125,0.643,0.232,0.9997
1974,CRI,0.136,0.611,0.254,0.9998
1974,CSK,0.075,0.658,0.266,0.9999
1974,CUB,0.177,0.615,0.208,0.9984
1974,CYP,0.173,0.616,0.211,0.9963
1974,DDR,0.091,0.628,0.28,0.9999
1974,DEU,0.099,0.617,0.284,0.9999
1974,DNK,0.097,0.613,0.29,0.9998
1974,DOM,0.081,0.655,0.264,0.9999
1974,DZA,0.171,0.594,0.235,0.9992
1974,ECU,0.135,0.638,0.227,0.9995
1974,EGY,0.132,0.633,0.235,0.9999
1974,ESP,0.103,0.634,0.263,0.9999
1974,ETH,0.117,0.65,0.234,0.9998
1974,FIN,0.082,0.622,0.296,0.9997
1974,FRA,0.111,0.618,0.271,0.9999
1974,GAB,0.076,0.645,0.28,0.9997
1974,GBR,0.139,0.627,0.235,0.9968
1974,GHA,0.141,0.602,0.258,0.9998
1974,GIN,0.101,0.631,0.268,0.9999
1974,GMB,0.134,0.555,0.311,0.9998
1974,GNQ,0.099,0.587,0.314,1.0
1974,GRC,0.128,0.636,0.236,0.9998
1974,GRD,0.076,0.643,0.281,0.9999
1974,GTM,0.077,0.622,0.302,0.9999
1974,GUY,0.095,0.672,0.233,0.9999
1974,HND,0.235,0.566,0.2,-0.979
1974,HTI,0.126,0.593,0.282,0.9998
1974,HUN,0.111,0.601,0.288,0.9999
1974,IDN,0.083,0.642,0.275,1.0
1974,IND,0.144,0.573,0.283,0.9996
1974,IRL,0.162,0.606,0.233,0.9996
1974,IRN,0.092,0.679,0.229,0.9999
1974,IRQ,0.161,0.604,0.235,0.9996
1974,ISL,0.097,0.581,0.323,0.9998
1974,ISR,0.215,0.561,0.224,-0.9687
1974,ITA,0.118,0.614,0.268,0.9999
1974,JAM,0.12,0.624,0.256,0.9999
1974,JOR,0.132,0.651,0.217,0.9995
1974,JPN,0.1,0.579,0.32,0.9999
1974,KEN,0.141,0.609,0.25,0.9999
1974,KHM,0.154,0.615,0.231,0.9997
1974,KWT,0.155,0.597,0.249,0.9998
1974,LAO,0.108,0.552,0.34,0.9999
1974,LBN,0.128,0.609,0.262,0.9996
1974,LBR,0.131,0.568,0.301,0.9999
1974,LBY,0.157,0.642,0.201,0.9972
1974,LKA,0.144,0.627,0.23,0.9998
1974,LSO,0.151,0.658,0.191,0.9929
1974,LUX,0.142,0.58,0.278,0.9998
1974,MAR,0.099,0.678,0.223,0.9999
1974,MEX,0.098,0.668,0.235,0.9999
1974,MLI,0.145,0.645,0.21,0.9994
1974,MLT,0.108,0.611,0.281,0.9999
1974,MMR,0.117,0.644,0.239,0.9992
1974,MNG,0.097,0.61,0.293,0.9999
1974,MRT,0.103,0.671,0.226,0.9998
1974,MUS,0.083,0.641,0.275,0.9999
1974,MYS,0.129,0.606,0.265,0.9999
1974,NER,0.134,0.577,0.289,0.9998
1974,NGA,0.096,0.658,0.246,0.9997
1974,NIC,0.183,0.594,0.223,0.9961
1974,NLD,0.147,0.599,0.254,0.9998
1974,NOR,0.102,0.58,0.318,0.9999
1974,NPL,0.126,0.582,0.292,0.9999
1974,NZL,0.108,0.653,0.239,0.9998
1974,OMN,0.102,0.571,0.327,0.9998
1974,PAK,0.124,0.639,0.237,0.9996
1974,PER,0.093,0.662,0.245,0.9999
1974,PHL,0.142,0.646,0.213,0.9996
1974,POL,0.075,0.564,0.362,0.9999
1974,PRT,0.101,0.643,0.256,0.9999
1974,PRY,0.15,0.564,0.286,0.9998
1974,QAT,0.15,0.547,0.303,0.9994
1974,ROU,0.063,0.633,0.304,1.0
1974,RUS,0.104,0.633,0.263,1.0
1974,RWA,0.113,0.628,0.259,0.9999
1974,SAU,0.081,0.613,0.306,0.9996
1974,SDN,0.156,0.654,0.19,0.9975
1974,SEN,0.09,0.643,0.268,0.9999
1974,SGP,0.21,0.596,0.195,-0.9875
1974,SLE,0.13,0.629,0.241,0.9996
1974,SLV,0.09,0.643,0.267,0.9998
1974,SOM,0.121,0.608,0.271,0.9999
1974,SWE,0.155,0.542,0.303,0.9998
1974,SWZ,0.124,0.593,0.283,0.9997
1974,SYR,0.149,0.601,0.251,0.9997
1974,TCD,0.145,0.593,0.262,0.9995
1974,TGO,0.123,0.614,0.264,0.9998
1974,THA,0.092,0.634,0.274,0.9999
1974,TUN,0.139,0.589,0.271,0.9998
1974,TUR,0.106,0.644,0.25,0.9999
1974,TZA,0.19,0.551,0.259,0.9997
1974,UGA,0.14,0.657,0.203,0.9994
1974,UKR,0.125,0.609,0.266,0.9999
1974,URY,0.138,0.609,0.253,0.9998
1974,USA,0.148,0.581,0.271,0.9998
1974,VEN,0.112,0.614,0.274,1.0
1974,YDYE,0.126,0.6,0.274,0.9997
1974,YEM,0.1,0.621,0.279,0.9999
1974,YUG,0.153,0.572,0.275,0.9998
1974,ZMB,0.131,0.616,0.254,0.9999
1975,AFG,0.076,0.584,0.34,0.9999
1975,ALB,0.156,0.585,0.259,0.9999
1975,ARE,0.093,0.588,0.319,0.9999
1975,ARG,0.078,0.647,0.275,0.9999
1975,AUS,0.086,0.6,0.314,0.9999
1975,AUT,0.126,0.597,0.277,0.9998
1975,BDI,0.096,0.62,0.284,0.9999
1975,BEL,0.076,0.626,0.298,0.9999
1975,BEN,0.099,0.623,0.278,0.9999
1975,BFA,0.136,0.618,0.247,0.9997
1975,BGD,0.118,0.617,0.265,0.9998
1975,BGR,0.121,0.625,0.254,0.9998
1975,BHR,0.11,0.632,0.259,0.9999
1975,BLR,0.127,0.602,0.272,0.9999
1975,BOL,0.092,0.637,0.271,0.9999
1975,BRA,0.084,0.675,0.241,0.9996
1975,BRB,0.126,0.618,0.256,0.9996
1975,BTN,0.102,0.576,0.322,0.9998
1975,BWA,0.107,0.664,0.229,0.9998
1975,CAF,0.08,0.663,0.257,1.0
1975,CAN,0.085,0.584,0.33,0.9999
1975,CHL,0.123,0.611,0.266,0.9999
1975,CHN,0.156,0.628,0.216,0.9997
