,Year,ISO-alpha3 Code,Neg,Neu,Pos,Compound
49,1970,PHL,0.113,0.718,0.168,0.9985
50,1970,PRY,0.074,0.755,0.171,0.9999
51,1970,RWA,0.095,0.706,0.2,0.9999
52,1970,SDN,0.113,0.731,0.156,0.9997
53,1970,SGP,0.086,0.731,0.183,0.9998
54,1970,SLE,0.097,0.732,0.172,0.9999
55,1970,SLV,0.07,0.779,0.151,1.0
56,1970,SOM,0.105,0.731,0.164,0.9999
57,1970,SYR,0.111,0.705,0.184,0.9999
58,1970,TGO,0.073,0.787,0.141,0.9998
59,1970,THA,0.08,0.737,0.183,1.0
60,1970,TTO,0.04,0.815,0.145,0.9999
61,1970,TUN,0.089,0.721,0.19,1.0
62,1970,TUR,0.096,0.693,0.211,1.0
63,1970,UKR,0.079,0.754,0.167,0.9999
64,1970,URY,0.065,0.764,0.171,0.9999
65,1970,USA,0.058,0.726,0.216,1.0
66,1970,VEN,0.117,0.72,0.163,0.9996
67,1970,YUG,0.083,0.739,0.178,0.9999
68,1970,ZAF,0.058,0.773,0.169,0.9999
69,1970,ZMB,0.125,0.721,0.154,0.9991
70,1971,AFG,0.072,0.733,0.195,1.0
71,1971,ALB,0.107,0.719,0.173,1.0
72,1971,ARG,0.051,0.777,0.172,1.0
73,1971,AUS,0.061,0.756,0.183,0.9999
74,1971,AUT,0.072,0.737,0.191,0.9999
75,1971,BDI,0.093,0.741,0.166,0.9999
76,1971,BEL,0.053,0.785,0.162,0.9999
77,1971,BEN,0.094,0.713,0.193,0.9998
78,1971,BFA,0.093,0.751,0.156,0.9999
79,1971,BGR,0.086,0.723,0.192,0.9999
80,1971,BLR,0.08,0.753,0.167,1.0
81,1971,BOL,0.086,0.764,0.149,0.9999
82,1971,BRA,0.064,0.773,0.163,0.9999
83,1971,CAF,0.065,0.745,0.19,0.9999
84,1971,CAN,0.093,0.741,0.166,0.9998
85,1971,CHL,0.061,0.733,0.205,1.0
86,1971,CHN,0.121,0.715,0.163,0.9992
87,1971,CIV,0.12,0.735,0.146,0.9988
88,1971,CMR,0.084,0.767,0.149,0.9995
89,1971,COD,0.091,0.751,0.159,0.9999
90,1971,COG,0.102,0.766,0.133,0.9992
91,1971,COL,0.087,0.757,0.156,0.9999
92,1971,CSK,0.069,0.732,0.198,0.9999
93,1971,CUB,0.126,0.752,0.122,-0.6336
94,1971,CYP,0.085,0.709,0.206,1.0
95,1971,DOM,0.074,0.757,0.169,0.9999
96,1971,DZA,0.118,0.708,0.173,0.9999
97,1971,ECU,0.077,0.709,0.214,1.0
98,1971,EGY,0.067,0.768,0.166,1.0
99,1971,ESP,0.069,0.76,0.171,0.9999
100,1971,ETH,0.086,0.75,0.164,0.9997
101,1971,FIN,0.06,0.717,0.223,0.9999
102,1971,FJI,0.038,0.792,0.17,0.9999
103,1971,FRA,0.087,0.751,0.162,0.9999
104,1971,GAB,0.088,0.712,0.2,0.9999
105,1971,GBR,0.14,0.7,0.159,0.9981
106,1971,GHA,0.077,0.719,0.203,1.0
107,1971,GIN,0.066,0.812,0.121,0.9999
108,1971,GRC,0.064,0.759,0.178,0.9998
109,1971,GTM,0.048,0.763,0.189,0.9999
110,1971,GUY,0.071,0.772,0.157,1.0
111,1971,HTI,0.08,0.746,0.174,0.9999
112,1971,HUN,0.075,0.761,0.164,0.9999
113,1971,IDN,0.085,0.726,0.189,0.9999
114,1971,IND,0.088,0.777,0.136,0.9999
115,1971,IRL,0.118,0.72,0.162,0.9998
116,1971,IRN,0.075,0.717,0.208,0.9999
117,1971,IRQ,0.078,0.754,0.168,0.9999
118,1971,ISL,0.069,0.752,0.179,0.9999
119,1971,ISR,0.084,0.736,0.18,1.0
120,1971,ITA,0.06,0.754,0.186,1.0
121,1971,JAM,0.067,0.783,0.15,0.9999
122,1971,JOR,0.088,0.752,0.16,0.9999
123,1971,JPN,0.065,0.722,0.214,1.0
124,1971,KEN,0.075,0.739,0.186,1.0
125,1971,KHM,0.093,0.764,0.143,0.9995
126,1971,KWT,0.081,0.775,0.144,0.9998
127,1971,LAO,0.083,0.728,0.189,0.9998
128,1971,LBN,0.11,0.704,0.186,0.9997
129,1971,LBR,0.08,0.762,0.158,0.9998
130,1971,LBY,0.125,0.762,0.113,-0.9985
131,1971,LKA,0.074,0.756,0.17,0.9999
132,1971,LUX,0.064,0.767,0.169,0.9999
133,1971,MAR,0.085,0.754,0.16,0.9997
134,1971,MDG,0.08,0.783,0.137,0.9997
135,1971,MEX,0.075,0.776,0.148,0.9998
136,1971,MLI,0.106,0.725,0.169,0.9998
137,1971,MLT,0.065,0.726,0.209,1.0
138,1971,MMR,0.083,0.727,0.191,0.9999
139,1971,MNG,0.06,0.744,0.196,0.9999
140,1971,MRT,0.08,0.714,0.206,0.9999
141,1971,MUS,0.066,0.721,0.213,0.9999
142,1971,MYS,0.049,0.755,0.197,1.0
143,1971,NER,0.095,0.678,0.227,0.9999
144,1971,NGA,0.089,0.769,0.142,0.9997
145,1971,NIC,0.025,0.775,0.2,1.0
146,1971,NLD,0.068,0.713,0.219,1.0
147,1971,NOR,0.094,0.742,0.164,0.9995
148,1971,NPL,0.082,0.72,0.198,1.0
149,1971,NZL,0.068,0.781,0.15,0.9999
150,1971,PAK,0.114,0.764,0.123,0.9961
151,1971,PAN,0.041,0.788,0.17,0.9998
152,1971,PER,0.063,0.796,0.141,0.9999
153,1971,PHL,0.056,0.787,0.157,1.0
154,1971,POL,0.058,0.754,0.188,1.0
155,1971,PRY,0.036,0.787,0.176,0.9999
156,1971,QAT,0.078,0.745,0.177,0.9999
157,1971,ROU,0.065,0.716,0.219,1.0
158,1971,RUS,0.074,0.756,0.17,1.0
159,1971,RWA,0.096,0.757,0.147,0.9995
160,1971,SAU,0.109,0.736,0.155,0.9989
161,1971,SDN,0.076,0.77,0.154,0.9999
162,1971,SEN,0.063,0.766,0.171,0.9999
163,1971,SGP,0.155,0.702,0.143,-0.9954
164,1971,SLE,0.065,0.765,0.17,1.0
165,1971,SLV,0.059,0.756,0.185,1.0
166,1971,SOM,0.098,0.74,0.162,0.9999
167,1971,SWE,0.077,0.762,0.161,0.9996
168,1971,SYR,0.14,0.703,0.157,0.9973
169,1971,TCD,0.07,0.771,0.16,1.0
170,1971,TGO,0.1,0.733,0.166,0.9998
171,1971,THA,0.055,0.742,0.203,0.9999
172,1971,TTO,0.045,0.795,0.16,0.9998
173,1971,TUN,0.105,0.752,0.143,0.9995
174,1971,TUR,0.069,0.716,0.215,0.9999
175,1971,TZA,0.118,0.73,0.151,0.9995
176,1971,UGA,0.069,0.748,0.184,0.9998
177,1971,UKR,0.075,0.756,0.169,0.9999
178,1971,URY,0.072,0.742,0.186,1.0
179,1971,USA,0.056,0.731,0.213,1.0
180,1971,VEN,0.042,0.78,0.178,0.9999
181,1971,YDYE,0.101,0.726,0.172,0.9999
182,1971,YEM,0.089,0.734,0.178,0.9997
183,1971,YUG,0.092,0.722,0.186,0.9999
184,1971,ZAF,0.028,0.837,0.134,0.9997
185,1971,ZMB,0.108,0.746,0.146,0.9995
186,1972,AFG,0.067,0.769,0.164,0.9998
187,1972,ALB,0.106,0.727,0.167,1.0
188,1972,ARE,0.108,0.742,0.15,0.9981
189,1972,ARG,0.07,0.768,0.162,0.9999
190,1972,AUS,0.104,0.706,0.189,0.9999
191,1972,AUT,0.076,0.724,0.2,0.9999
192,1972,BDI,0.105,0.746,0.149,0.9999
193,1972,BEL,0.095,0.766,0.139,0.9997
194,1972,BEN,0.064,0.734,0.202,0.9999
195,1972,BFA,0.098,0.734,0.168,0.9998
196,1972,BGR,0.072,0.725,0.203,1.0
197,1972,BHR,0.109,0.75,0.141,0.9886
198,1972,BLR,0.071,0.765,0.164,0.9999
199,1972,BOL,0.072,0.759,0.168,1.0
200,1972,BRA,0.079,0.762,0.159,0.9999
201,1972,BRB,0.115,0.709,0.176,0.9994
202,1972,BTN,0.056,0.719,0.224,0.9999
203,1972,CAF,0.077,0.717,0.206,0.9999
204,1972,CAN,0.116,0.718,0.166,0.9996
205,1972,CHL,0.101,0.722,0.177,1.0
206,1972,CHN,0.136,0.727,0.137,0.7457
207,1972,CIV,0.123,0.718,0.159,0.999
208,1972,CMR,0.092,0.72,0.189,0.9999
209,1972,COD,0.076,0.781,0.143,0.9998
210,1972,COG,0.117,0.739,0.144,0.9994
211,1972,COL,0.091,0.763,0.146,0.9998
212,1972,CRI,0.111,0.731,0.158,0.9997
213,1972,CSK,0.075,0.731,0.194,0.9999
214,1972,CUB,0.107,0.761,0.132,0.9996
215,1972,CYP,0.067,0.717,0.216,1.0
216,1972,DNK,0.074,0.725,0.201,0.9999
217,1972,DOM,0.082,0.744,0.174,0.9998
218,1972,DZA,0.114,0.717,0.168,0.9998
219,1972,ECU,0.086,0.73,0.184,1.0
220,1972,EGY,0.076,0.735,0.189,1.0
221,1972,ESP,0.077,0.733,0.19,0.9999
222,1972,ETH,0.106,0.734,0.16,0.9998
223,1972,FIN,0.06,0.776,0.164,0.9995
224,1972,FJI,0.078,0.74,0.182,1.0
225,1972,FRA,0.07,0.752,0.177,0.9999
226,1972,GAB,0.11,0.735,0.156,0.9972
227,1972,GBR,0.096,0.751,0.153,0.9996
228,1972,GHA,0.096,0.743,0.161,0.9998
229,1972,GIN,0.098,0.787,0.116,0.9988
230,1972,GMB,0.095,0.746,0.159,0.9993
231,1972,GRC,0.082,0.715,0.203,0.9999
232,1972,GTM,0.071,0.801,0.128,0.9987
233,1972,GUY,0.071,0.769,0.16,0.9999
234,1972,HND,0.056,0.748,0.197,0.9999
235,1972,HTI,0.088,0.752,0.16,0.9999
236,1972,HUN,0.092,0.765,0.143,0.9998
237,1972,IDN,0.084,0.737,0.179,0.9999
238,1972,IND,0.078,0.731,0.192,1.0
239,1972,IRL,0.094,0.753,0.153,0.9997
240,1972,IRN,0.06,0.779,0.161,0.9999
241,1972,IRQ,0.105,0.707,0.188,0.9999
242,1972,ISL,0.038,0.826,0.136,0.9998
243,1972,ISR,0.16,0.701,0.139,-0.9998
244,1972,ITA,0.063,0.708,0.229,0.9999
245,1972,JAM,0.082,0.785,0.133,0.9997
246,1972,JOR,0.107,0.737,0.155,0.9994
247,1972,JPN,0.055,0.73,0.215,1.0
248,1972,KEN,0.082,0.754,0.163,0.9998
249,1972,KHM,0.113,0.769,0.118,0.5163
250,1972,KWT,0.143,0.757,0.101,-0.9998
251,1972,LAO,0.132,0.715,0.153,0.9966
252,1972,LBN,0.134,0.714,0.151,0.9897
253,1972,LBR,0.11,0.734,0.157,0.9998
254,1972,LBY,0.172,0.675,0.153,-0.9995
255,1972,LKA,0.098,0.739,0.163,0.9999
256,1972,LUX,0.103,0.72,0.177,0.9998
257,1972,MAR,0.094,0.734,0.172,0.9999
258,1972,MDG,0.101,0.73,0.168,0.9996
259,1972,MEX,0.057,0.778,0.165,1.0
260,1972,MLI,0.069,0.824,0.107,0.9992
261,1972,MLT,0.089,0.754,0.158,0.9998
262,1972,MMR,0.088,0.737,0.175,0.9999
263,1972,MNG,0.083,0.704,0.213,1.0
264,1972,MRT,0.109,0.696,0.194,0.9999
265,1972,MUS,0.079,0.741,0.18,0.9998
266,1972,MWI,0.079,0.741,0.18,0.9999
267,1972,MYS,0.062,0.737,0.201,0.9999
268,1972,NER,0.116,0.716,0.168,0.9992
269,1972,NGA,0.099,0.716,0.185,0.9999
270,1972,NIC,0.05,0.781,0.17,1.0
271,1972,NLD,0.07,0.776,0.154,0.9999
272,1972,NPL,0.102,0.728,0.17,0.9997
273,1972,NZL,0.088,0.756,0.156,0.9998
274,1972,OMN,0.083,0.71,0.207,0.9998
275,1972,PAK,0.106,0.738,0.156,0.9996
276,1972,PER,0.071,0.79,0.14,0.9999
277,1972,PHL,0.09,0.731,0.178,0.9999
278,1972,POL,0.061,0.76,0.179,0.9999
279,1972,PRT,0.128,0.738,0.134,-0.956
280,1972,PRY,0.062,0.804,0.134,0.9997
281,1972,QAT,0.038,0.751,0.211,0.9994
282,1972,ROU,0.05,0.803,0.147,0.9999
283,1972,RUS,0.11,0.73,0.16,0.9999
284,1972,RWA,0.078,0.758,0.164,0.9999
285,1972,SAU,0.134,0.741,0.125,-0.9927
286,1972,SDN,0.136,0.741,0.123,-0.9986
287,1972,SEN,0.105,0.731,0.164,0.9998
288,1972,SGP,0.105,0.719,0.176,0.9997
289,1972,SLE,0.095,0.734,0.172,1.0
290,1972,SLV,0.059,0.811,0.131,0.9999
291,1972,SOM,0.125,0.728,0.147,0.9988
292,1972,SWE,0.111,0.734,0.156,0.9993
293,1972,SWZ,0.12,0.702,0.178,0.9986
294,1972,SYR,0.161,0.699,0.14,-0.9998
295,1972,TCD,0.098,0.741,0.162,0.9994
296,1972,TGO,0.092,0.753,0.156,0.9995
297,1972,THA,0.085,0.723,0.192,0.9999
298,1972,TUN,0.092,0.749,0.159,0.9999
299,1972,TUR,0.095,0.695,0.21,0.9999
300,1972,TZA,0.102,0.749,0.149,0.9998
301,1972,UGA,0.086,0.773,0.141,0.9999
302,1972,UKR,0.091,0.725,0.185,0.9999
303,1972,URY,0.063,0.779,0.158,0.9998
304,1972,USA,0.104,0.724,0.172,0.9998
305,1972,VEN,0.16,0.701,0.139,-0.9994
306,1972,YDYE,0.124,0.689,0.188,0.9998
307,1972,YEM,0.114,0.725,0.161,0.9996
308,1972,YUG,0.111,0.694,0.195,0.9998
309,1972,ZAF,0.108,0.752,0.14,0.9981
310,1972,ZMB,0.102,0.702,0.196,0.9999
311,1973,AFG,0.041,0.799,0.159,0.9999
312,1973,ALB,0.112,0.727,0.161,0.9999
313,1973,ARE,0.074,0.761,0.166,0.9997
314,1973,ARG,0.061,0.772,0.168,0.9999
315,1973,AUS,0.041,0.784,0.175,1.0
316,1973,AUT,0.075,0.775,0.15,0.9997
317,1973,BDI,0.127,0.695,0.178,0.9999
318,1973,BEL,0.063,0.787,0.15,0.9999
319,1973,BEN,0.108,0.717,0.175,0.9999
320,1973,BFA,0.078,0.765,0.156,0.9999
321,1973,BGR,0.066,0.745,0.189,0.9999
322,1973,BHR,0.097,0.734,0.169,0.9994
323,1973,BHS,0.056,0.783,0.161,0.9999
324,1973,BLR,0.085,0.728,0.187,1.0
325,1973,BOL,0.079,0.736,0.184,1.0
326,1973,BRA,0.044,0.803,0.153,0.9999
327,1973,BTN,0.066,0.673,0.261,1.0
328,1973,CAF,0.068,0.761,0.171,0.9999
329,1973,CAN,0.11,0.716,0.174,0.9993
330,1973,CHL,0.1,0.754,0.146,0.9999
331,1973,CHN,0.093,0.778,0.129,0.9998
332,1973,COD,0.105,0.755,0.14,0.9999
333,1973,COG,0.101,0.742,0.157,0.9997
334,1973,COL,0.068,0.76,0.171,1.0
335,1973,CRI,0.06,0.783,0.157,1.0
336,1973,CSK,0.059,0.717,0.224,1.0
337,1973,CUB,0.127,0.747,0.126,-0.9955
338,1973,CYP,0.062,0.719,0.219,1.0
339,1973,DDR,0.074,0.763,0.163,0.9999
340,1973,DEU,0.106,0.716,0.178,0.9999
341,1973,DNK,0.08,0.74,0.181,0.9998
342,1973,DZA,0.115,0.723,0.162,0.9999
343,1973,ECU,0.087,0.72,0.193,1.0
344,1973,EGY,0.119,0.772,0.109,-0.8651
345,1973,ESP,0.077,0.748,0.176,0.9999
346,1973,ETH,0.107,0.695,0.198,0.9999
347,1973,FIN,0.073,0.741,0.186,0.9998
348,1973,FJI,0.077,0.742,0.181,0.9999
349,1973,FRA,0.085,0.762,0.153,0.9998
350,1973,GAB,0.093,0.752,0.155,0.9995
351,1973,GBR,0.078,0.78,0.142,0.9997
352,1973,GHA,0.119,0.733,0.148,0.9996
353,1973,GIN,0.088,0.753,0.159,0.9999
354,1973,GRC,0.073,0.722,0.205,0.9999
355,1973,GTM,0.065,0.76,0.175,0.9998
356,1973,GUY,0.05,0.787,0.163,1.0
357,1973,HND,0.055,0.804,0.142,0.9994
358,1973,HTI,0.058,0.756,0.187,1.0
359,1973,HUN,0.068,0.766,0.166,1.0
360,1973,IDN,0.075,0.771,0.155,0.9999
361,1973,IND,0.08,0.733,0.188,1.0
362,1973,IRL,0.107,0.755,0.138,0.9993
363,1973,IRN,0.08,0.738,0.182,0.9998
364,1973,IRQ,0.084,0.761,0.156,0.9997
365,1973,ISL,0.067,0.762,0.171,0.9999
366,1973,ISR,0.094,0.752,0.154,0.9999
367,1973,ITA,0.063,0.756,0.181,0.9999
368,1973,JAM,0.092,0.739,0.169,0.9999
369,1973,JOR,0.116,0.791,0.094,-0.9974
370,1973,JPN,0.05,0.723,0.226,1.0
371,1973,KEN,0.113,0.698,0.189,0.9999
372,1973,KHM,0.074,0.81,0.116,0.9995
373,1973,KWT,0.059,0.809,0.132,0.9983
374,1973,LAO,0.11,0.705,0.186,0.9996
375,1973,LBN,0.083,0.766,0.151,0.9995
376,1973,LBR,0.107,0.703,0.19,0.9999
377,1973,LBY,0.103,0.794,0.103,-0.791
378,1973,LKA,0.087,0.742,0.172,0.9999
379,1973,LSO,0.109,0.717,0.174,0.9997
380,1973,LUX,0.077,0.761,0.162,0.9996
381,1973,MAR,0.081,0.723,0.196,0.9999
382,1973,MDG,0.084,0.766,0.149,0.9999
383,1973,MEX,0.064,0.762,0.174,1.0
384,1973,MLI,0.101,0.749,0.15,0.9998
385,1973,MMR,0.075,0.801,0.124,0.9973
386,1973,MNG,0.073,0.748,0.18,0.9999
387,1973,MRT,0.067,0.735,0.197,1.0
388,1973,MUS,0.067,0.693,0.24,0.9999
389,1973,MYS,0.072,0.718,0.209,1.0
390,1973,NER,0.092,0.715,0.193,0.9999
391,1973,NGA,0.092,0.708,0.2,1.0
392,1973,NIC,0.082,0.73,0.188,0.9998
393,1973,NLD,0.094,0.732,0.174,0.9999
394,1973,NOR,0.085,0.752,0.163,0.9999
395,1973,NPL,0.117,0.705,0.178,0.9997
396,1973,NZL,0.115,0.722,0.163,0.9997
397,1973,OMN,0.063,0.769,0.168,0.9997
398,1973,PAK,0.143,0.696,0.161,0.9919
399,1973,PAN,0.041,0.793,0.165,0.9999
400,1973,PER,0.061,0.78,0.159,0.9999
401,1973,PHL,0.069,0.765,0.167,1.0
402,1973,POL,0.057,0.765,0.178,0.9999
403,1973,PRT,0.112,0.747,0.142,0.9994
404,1973,PRY,0.107,0.71,0.183,0.9999
405,1973,QAT,0.084,0.705,0.212,0.9998
406,1973,ROU,0.04,0.787,0.173,1.0
407,1973,RUS,0.076,0.749,0.175,1.0
408,1973,RWA,0.108,0.741,0.151,0.9996
409,1973,SAU,0.106,0.789,0.105,-0.9149
410,1973,SDN,0.095,0.785,0.12,0.9991
411,1973,SEN,0.071,0.778,0.151,0.9999
412,1973,SGP,0.145,0.728,0.127,-0.9971
413,1973,SLE,0.104,0.731,0.165,0.9998
414,1973,SLV,0.078,0.765,0.157,0.9999
415,1973,SOM,0.113,0.738,0.15,0.9997
416,1973,SWE,0.135,0.699,0.167,0.9986
417,1973,SYR,0.1,0.744,0.156,0.9998
418,1973,THA,0.042,0.785,0.173,0.9999
419,1973,TUN,0.105,0.723,0.172,0.9999
420,1973,TUR,0.089,0.74,0.171,0.9999
421,1973,TZA,0.124,0.706,0.171,0.9998
422,1973,UKR,0.103,0.705,0.192,1.0
423,1973,URY,0.062,0.751,0.187,1.0
424,1973,USA,0.091,0.701,0.208,0.9999
425,1973,VEN,0.058,0.793,0.148,0.9999
426,1973,YDYE,0.082,0.824,0.094,0.5414
427,1973,YEM,0.08,0.761,0.16,0.9975
428,1973,YUG,0.086,0.755,0.159,0.9999
429,1973,ZAF,0.077,0.802,0.12,0.9994
430,1973,ZMB,0.092,0.738,0.17,0.9999
431,1974,AFG,0.072,0.725,0.203,0.9999
432,1974,ALB,0.087,0.729,0.184,1.0
433,1974,ARE,0.058,0.817,0.126,0.9992
434,1974,ARG,0.055,0.777,0.168,1.0
435,1974,AUS,0.119,0.718,0.162,0.9996
436,1974,AUT,0.049,0.833,0.118,0.9992
437,1974,BDI,0.101,0.707,0.192,1.0
438,1974,BEL,0.063,0.786,0.151,0.9998
439,1974,BEN,0.109,0.722,0.169,0.9999
440,1974,BFA,0.082,0.763,0.155,1.0
441,1974,BGD,0.104,0.682,0.214,0.9999
442,1974,BGR,0.048,0.784,0.168,0.9999
443,1974,BHR,0.064,0.759,0.177,0.9999
444,1974,BLR,0.059,0.776,0.165,0.9999
445,1974,BOL,0.062,0.72,0.218,0.9999
446,1974,BRA,0.059,0.755,0.186,1.0
447,1974,BRB,0.119,0.707,0.173,0.9992
448,1974,BTN,0.066,0.709,0.225,1.0
449,1974,BWA,0.074,0.724,0.202,1.0
450,1974,CAF,0.071,0.726,0.203,1.0
451,1974,CAN,0.095,0.735,0.17,0.9997
452,1974,CHL,0.055,0.802,0.143,0.9998
453,1974,CHN,0.105,0.761,0.134,0.9997
454,1974,CIV,0.094,0.76,0.146,0.9998
455,1974,CMR,0.073,0.737,0.189,0.9999
456,1974,COD,0.086,0.766,0.148,0.9999
457,1974,COG,0.102,0.731,0.167,0.9998
458,1974,COL,0.095,0.765,0.14,0.9996
459,1974,CRI,0.09,0.762,0.148,0.9998
460,1974,CSK,0.057,0.763,0.18,0.9999
461,1974,CUB,0.125,0.745,0.13,-0.5427
462,1974,CYP,0.129,0.737,0.133,-0.6905
463,1974,DDR,0.067,0.74,0.192,1.0
464,1974,DEU,0.069,0.745,0.185,1.0
465,1974,DNK,0.067,0.733,0.2,0.9999
466,1974,DOM,0.053,0.774,0.173,1.0
467,1974,DZA,0.113,0.741,0.147,0.9994
468,1974,ECU,0.096,0.758,0.146,0.9996
469,1974,EGY,0.088,0.772,0.14,0.9999
470,1974,ESP,0.072,0.762,0.165,1.0
471,1974,ETH,0.088,0.759,0.153,0.9998
472,1974,FIN,0.051,0.766,0.183,0.9998
473,1974,FRA,0.075,0.755,0.17,1.0
474,1974,GAB,0.053,0.791,0.156,0.9997
475,1974,GBR,0.078,0.801,0.122,0.9961
476,1974,GHA,0.108,0.728,0.165,0.9999
477,1974,GIN,0.065,0.782,0.154,0.9999
478,1974,GMB,0.105,0.701,0.194,0.9998
479,1974,GNQ,0.066,0.744,0.189,1.0
480,1974,GRC,0.092,0.751,0.157,0.9999
481,1974,GRD,0.042,0.809,0.149,0.9999
482,1974,GTM,0.041,0.806,0.153,0.9998
483,1974,GUY,0.062,0.791,0.147,1.0
484,1974,HND,0.136,0.753,0.111,-0.9829
485,1974,HTI,0.082,0.741,0.176,0.9999
486,1974,HUN,0.072,0.736,0.192,0.9999
487,1974,IDN,0.059,0.755,0.186,1.0
488,1974,IND,0.102,0.724,0.174,0.9996
489,1974,IRL,0.111,0.737,0.152,0.9997
490,1974,IRN,0.068,0.785,0.147,0.9999
491,1974,IRQ,0.113,0.732,0.154,0.9997
492,1974,ISL,0.057,0.754,0.189,0.9999
493,1974,ISR,0.105,0.707,0.189,0.9999
494,1974,ITA,0.082,0.763,0.155,0.9999
495,1974,JAM,0.082,0.745,0.173,0.9999
496,1974,JOR,0.092,0.779,0.129,0.9991
497,1974,JPN,0.058,0.751,0.192,0.9999
498,1974,KEN,0.096,0.745,0.159,0.9999
499,1974,KHM,0.11,0.762,0.129,0.9989
500,1974,KWT,0.106,0.756,0.138,0.9986
501,1974,LAO,0.079,0.67,0.25,0.9999
502,1974,LBN,0.073,0.775,0.152,0.9997
503,1974,LBR,0.103,0.695,0.203,0.9999
504,1974,LBY,0.102,0.784,0.115,0.995
505,1974,LKA,0.09,0.747,0.163,0.9999
506,1974,LSO,0.102,0.777,0.12,0.9918
507,1974,LUX,0.088,0.721,0.191,0.9999
508,1974,MAR,0.071,0.794,0.135,0.9999
509,1974,MEX,0.066,0.798,0.136,0.9999
510,1974,MLI,0.105,0.761,0.135,0.9994
511,1974,MLT,0.079,0.729,0.192,1.0
512,1974,MMR,0.079,0.763,0.158,0.9995
513,1974,MNG,0.071,0.743,0.186,0.9999
514,1974,MRT,0.061,0.787,0.152,0.9999
515,1974,MUS,0.066,0.761,0.173,0.9999
516,1974,MYS,0.099,0.734,0.167,0.9999
517,1974,NER,0.091,0.728,0.181,0.9999
518,1974,NGA,0.066,0.777,0.156,0.9998
519,1974,NIC,0.123,0.739,0.138,0.991
520,1974,NLD,0.107,0.709,0.184,0.9999
521,1974,NOR,0.073,0.722,0.205,0.9999
522,1974,NPL,0.093,0.711,0.197,1.0
523,1974,NZL,0.073,0.771,0.157,0.9999
524,1974,OMN,0.039,0.816,0.145,0.9994
525,1974,PAK,0.09,0.755,0.155,0.9997
526,1974,PER,0.063,0.798,0.139,0.9999
527,1974,PHL,0.094,0.767,0.14,0.9998
528,1974,POL,0.05,0.712,0.237,1.0
529,1974,PRT,0.069,0.753,0.178,1.0
530,1974,PRY,0.089,0.739,0.172,0.9999
531,1974,QAT,0.118,0.694,0.188,0.9991
532,1974,ROU,0.038,0.78,0.182,1.0
533,1974,RUS,0.08,0.75,0.17,1.0
534,1974,RWA,0.08,0.741,0.179,1.0
535,1974,SAU,0.048,0.79,0.162,0.9995
536,1974,SDN,0.105,0.772,0.123,0.9982
537,1974,SEN,0.066,0.765,0.169,1.0
538,1974,SGP,0.153,0.726,0.121,-0.9993
539,1974,SLE,0.093,0.748,0.158,0.9997
